num;question;answer
1;¿Cómo puedo adiestrarme mejor en Discord? No entiendo muchas cosas sobre la plataforma; Puede leer el PDF que se le proveyó o comunicarse con Carolina Rodriguez o Gabriel Santiago
2;¿Por qué no puedo ver los canales de otros grupos?; Se diseño de esta manera para tener una comunicación efectiva entre los integrantes de cada grupo individual y sus lideres
3;Tengo una idea para el bot. ¿Con quién me puedo contactar?; Con Carolina Rodriguez o Gabriel Santiago
4;Me siento indeciso sobre mi departamento. ¿Con quién hablo?; Hable con su consejero de su departamento el dia de ajustes de matricula, con uno de sus lideres o con Madeline Rodriguez
5;Tengo unas clases convalidadas por el CEEB ¿Con quién hablo?; Atienda bien a las orientaciones de la semana en como se convalidan esos cursos, sino hable con su departamento en ajustes
6;¿A quién voy para conseguir mi curriculo?; Preguntale al bot! El te lo provee en PDF si escribes **!curriculo:DEPT**
7;¿Cómo consigo los comandos para el bot?; Escribe **!help** en el chat de su preferencia
8;¿Cómo crearon el bot?; El bot fue programado completamente por Fernando y Gabriel en Python. Cualquier pregunta le pueden escribir. Ellos les explican y les enseñan algunos detalles
9;¿Qué significa la letra al lado de la sección de una clase?; D - a distancia, sin horario fijo, E - a distancia, con horario fijo, H - hibrida
10;¿Cuántos créditos necesito?; Para ser estudiante regular se necesita un mínimo de 12 créditos
11;¿Qué es Moodle?; Moodle es la plataforma principal para clases virtuales (https://online.upr.edu)
12;¿Cuál es la clave del WIFI del Colegio?; Colegio2019
13;¿Dónde me puedo estacionar?; Zoológico de Mayagüez, Palacio de Recreación y Deportes. Luego de las 4:30 se puede estacionar el cualquier lado
